"Refs","Value","Footprint","Qty","DNP"
"B1_C1","100uF","","1",""
"B1_C2","100nF","","1",""
"B1_C3","100uF","","1",""
"B1_C4","100nF","","1",""
"B1_C5","100nF","","1",""
"B1_D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"B1_D2","Power LED","","1",""
"B1_F1","Fuse","","1",""
"B1_J1","DC Barrel Jack","","1",""
"B1_J2","5V Output","","1",""
"B1_R1","1k","","1",""
"B1_U1","LM7805","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"B2_C1","100nF","","1",""
"B2_C2","100nF","","1",""
"B2_C3","100nF","","1",""
"B2_C4","100nF","","1",""
"B2_D1","LED","","1",""
"B2_D2","LED","","1",""
"B2_D3","LED","","1",""
"B2_D4","LED","","1",""
"B2_D5","LED","","1",""
"B2_D6","LED","","1",""
"B2_D7","LED","","1",""
"B2_D8","LED","","1",""
"B2_DARR1","LED array","","1",""
"B2_DARR2","LED array","","1",""
"B2_J1","Programming/control header","","1",""
"B2_J2","SPI header","","1",""
"B2_R1","Pullup resistor","","1",""
"B2_R2","Pullup resistor","","1",""
"B2_R3","Pullup resistor","","1",""
"B2_R4","Pullup resistor","","1",""
"B2_R5","Pullup resistor","","1",""
"B2_R6","Pullup resistor","","1",""
"B2_R7","Pullup resistor","","1",""
"B2_R8","Pullup resistor","","1",""
"B2_RN1","Resistor network","","1",""
"B2_RN2","Resistor network","","1",""
"B2_RN3","Resistor network","","1",""
"B2_SW1","DIP switch","","1",""
"B2_SW2","DIP switch","","1",""
"B2_U1","74HC595","","1",""
"B2_U2","74HC595","","1",""
"B2_U3","74HC595","","1",""
