"Refs","Value","Footprint","Qty","DNP"
"C001_BME280","BME280 Sensor","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","1",""
"C001_BOOT_PUSH_BUTTON?","BOOT Push Button","","1",""
"C001_CARD_DETECT_SWITCH?","Card Detect Switch","","1",""
"C001_COIN_CELL_HOLDER?","Coin Cell Holder","","1",""
"C001_CP2102","CP2102 USB-UART IC","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","1",""
"C001_C_100NF_FLASH?","100nF Capacitor","","1",""
"C001_DECOUPLING_CAPACITOR_ESP?","100nF","","1",""
"C001_DECOUPLING_CAPACITOR_MAIN?","100nF","","1",""
"C001_DECOUPLING_CAPACITOR_SD?","Decoupling Capacitor","","1",""
"C001_DS3231","DS3231 RTC","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","1",""
"C001_EN_PUSH_BUTTON?","EN Push Button","","1",""
"C001_ESP32_WROOM?","ESP32-WROOM Module","RF_Module:ESP32-WROOM-32","1",""
"C001_HEADER_CONNECTOR?","Programming Header","","1",""
"C001_I2C_HEADER?","I2C Header","","1",""
"C001_LED_INDICATOR?","LED","","1",""
"C001_MICRO_SD_SOCKET?","Micro SD Socket","","1",""
"C001_POWER_LED?","Power LED","","1",""
"C001_PULLUP_RESISTOR_OLED?","Pull-up Resistor","","1",""
"C001_PWR_3V3","DC Voltage Source","","1",""
"C001_RESET_CAPACITOR?","100nF","","1",""
"C001_RES_USB_CC1","Resistor","","1",""
"C001_RES_USB_CC2","Resistor","","1",""
"C001_R_10K_PULLUP_BOOT?","10k","","1",""
"C001_R_10K_PULLUP_EN?","10k","","1",""
"C001_R_10K_PULLUP_FLASH_HOLD?","10k","","1",""
"C001_R_10K_PULLUP_FLASH_WP?","10k","","1",""
"C001_R_10K_PULLUP_RTC?","10k","","1",""
"C001_R_10K_PULLUP_SD_CD?","10k","","1",""
"C001_R_220_PWR?","220 ohm","","1",""
"C001_R_220_STATUS?","220 ohm","","1",""
"C001_SCL_PULLUP?","SCL Pull-up","","1",""
"C001_SDA_PULLUP?","SDA Pull-up","","1",""
"C001_SSD1306_OLED?","SSD1306 OLED","Display:OLED-128O064D","1",""
"C001_TEST_POINT_DTR?","Test Point","","1",""
"C001_TEST_POINT_GPIO34","Test Point","","1",""
"C001_TEST_POINT_GPIO35","Test Point","","1",""
"C001_TEST_POINT_GPIO36","Test Point","","1",""
"C001_TEST_POINT_GPIO39","Test Point","","1",""
"C001_TEST_POINT_RTS?","Test Point","","1",""
"C001_USB_C_CONNECTOR?","USB Type-C Connector","","1",""
"C001_W25Q64","W25Q64 Flash IC","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","1",""
