"Refs","Value","Footprint","Qty","DNP"
"C020_CAP?","Capacitor","","1",""
"C020_CAPACITOR?","Capacitor","","1",""
"C020_CSOURCE?","Current Source","","1",""
"C020_C_100NF_CERAMIC?","100nF","","1",""
"C020_DECOUPLING_CAPACITOR_MAIN?","100nF","","1",""
"C020_FEEDBACK_RESISTOR?","Feedback Resistor","","1",""
"C020_LED_INDICATOR_CLOCK_OUT?","LED","","1",""
"C020_LED_INDICATOR_COMP_SINE?","LED","","1",""
"C020_LED_INDICATOR_COMP_TIA?","LED","","1",""
"C020_LM358","LM358 Op-Amp","","1",""
"C020_LM393_COMPARATOR?","LM393 Comparator","","1",""
"C020_LM393_COMPARATOR?","LM393 Comparator","","1",""
"C020_LM393_COMPARATOR?","LM393 Comparator","","1",""
"C020_LM741","LM741 Op-Amp","","1",""
"C020_NE555","NE555 Timer","Package_DIP:DIP-8_W7.62mm","1",""
"C020_OPAMP?","Op-Amp","","1",""
"C020_PIN_HEADER?","Pin Header","","1",""
"C020_POTENTIOMETER?","Potentiometer","","1",""
"C020_POWER_LED?","Power LED","","1",""
"C020_PWR_5V?","DC Voltage Source","","1",""
"C020_RESISTOR?","Resistor","","1",""
"C020_R_10K_PULLUP_COMP1","10k","","1",""
"C020_R_10K_PULLUP_COMP2","10k","","1",""
"C020_R_220_CLOCK_OUT?","220 ohm","","1",""
"C020_R_220_COMP_SINE?","220 ohm","","1",""
"C020_R_220_COMP_TIA?","220 ohm","","1",""
"C020_R_220_PWR?","220 ohm","","1",""
"C020_TRIMMER_POTENTIOMETER?","Trimmer Potentiometer","","1",""
"C020_VPULSE?","Pulse Voltage Source","","1",""
"C020_VSIN?","Sine Voltage Source","","1",""
